LeftShoulder,RightShoulder,LeftHip,RightHip,Wrist,Elbow 
"[0.5746957659721375, 0.267585426568985]","[0.47247153520584106, 0.28737208247184753]","[0.5368379354476929, 0.7139538526535034]","[0.4722581207752228, 0.7138271331787109]","[0.49431103467941284, 0.3699313700199127]","[0.5748812556266785, 0.5371354818344116]"
"[0.5743524432182312, 0.26789262890815735]","[0.4726754426956177, 0.2857230007648468]","[0.5365758538246155, 0.7138497233390808]","[0.4721064269542694, 0.7134812474250793]","[0.4983116090297699, 0.36672767996788025]","[0.5746685862541199, 0.5376646518707275]"
"[0.5733502507209778, 0.26791033148765564]","[0.4737790524959564, 0.2845093905925751]","[0.5358389019966125, 0.7136373519897461]","[0.4722408354282379, 0.7132181525230408]","[0.49920573830604553, 0.3566710650920868]","[0.574354350566864, 0.5377415418624878]"
"[0.5715736746788025, 0.26769429445266724]","[0.47544142603874207, 0.28298503160476685]","[0.534462034702301, 0.7135469913482666]","[0.47254514694213867, 0.7128064632415771]","[0.5009773373603821, 0.34994545578956604]","[0.573653519153595, 0.537710428237915]"
"[0.5706254839897156, 0.2671199440956116]","[0.4765041768550873, 0.28187739849090576]","[0.5341193675994873, 0.7135031223297119]","[0.47291794419288635, 0.7126088738441467]","[0.5030717253684998, 0.34734636545181274]","[0.5735368132591248, 0.5375608205795288]"
"[0.5687240958213806, 0.26651236414909363]","[0.47812920808792114, 0.2810385227203369]","[0.5329912900924683, 0.7135385274887085]","[0.4736512005329132, 0.7126088738441467]","[0.5058228969573975, 0.34534022212028503]","[0.5733602643013, 0.5374158024787903]"
"[0.5678370594978333, 0.26606446504592896]","[0.47851312160491943, 0.28056687116622925]","[0.5324130058288574, 0.7134175300598145]","[0.47387459874153137, 0.7124840617179871]","[0.5072484612464905, 0.33448389172554016]","[0.5729846954345703, 0.5373145937919617]"
"[0.5672563910484314, 0.26598072052001953]","[0.4787493050098419, 0.28002357482910156]","[0.5315544605255127, 0.7129486203193665]","[0.4740920066833496, 0.7118074893951416]","[0.5106908679008484, 0.33490392565727234]","[0.572587788105011, 0.5373173356056213]"
"[0.5673996806144714, 0.26580750942230225]","[0.4778148829936981, 0.2799704074859619]","[0.5315468311309814, 0.712053656578064]","[0.47391748428344727, 0.7101937532424927]","[0.5139328837394714, 0.32832634449005127]","[0.5723631381988525, 0.537345826625824]"
"[0.5675039887428284, 0.2657279670238495]","[0.4752338230609894, 0.2804637849330902]","[0.5315932035446167, 0.711376965045929]","[0.4739091694355011, 0.7097145318984985]","[0.5179320573806763, 0.3245334029197693]","[0.5720317363739014, 0.5375194549560547]"
"[0.5678475499153137, 0.2655238211154938]","[0.4723629355430603, 0.28179141879081726]","[0.5317991375923157, 0.7106776237487793]","[0.47384780645370483, 0.7095397710800171]","[0.5208626389503479, 0.3242475092411041]","[0.5717021226882935, 0.5378596186637878]"
"[0.5679804086685181, 0.26551035046577454]","[0.47099366784095764, 0.2833140790462494]","[0.5319910645484924, 0.7105695009231567]","[0.47389376163482666, 0.7096754908561707]","[0.5226545333862305, 0.32447147369384766]","[0.5715661644935608, 0.5379745364189148]"
"[0.5685692429542542, 0.26536744832992554]","[0.4709124267101288, 0.28393542766571045]","[0.5323264598846436, 0.7105281949043274]","[0.47406893968582153, 0.709800660610199]","[0.5224586725234985, 0.32467228174209595]","[0.5713010430335999, 0.5379646420478821]"
"[0.5688149929046631, 0.2653883397579193]","[0.4710208773612976, 0.28393420577049255]","[0.5324150919914246, 0.710526704788208]","[0.4741906225681305, 0.7098252177238464]","[0.5212393403053284, 0.3240361511707306]","[0.571195662021637, 0.5378573536872864]"
"[0.56885826587677, 0.26531246304512024]","[0.4711822271347046, 0.28336939215660095]","[0.5324425101280212, 0.7104924917221069]","[0.4743059277534485, 0.7098063230514526]","[0.52069491147995, 0.3246827721595764]","[0.5714524984359741, 0.5376009941101074]"
"[0.5688327550888062, 0.2653184235095978]","[0.4720340371131897, 0.28199294209480286]","[0.5324503183364868, 0.7106356024742126]","[0.47438082098960876, 0.7098367214202881]","[0.5189478397369385, 0.3251441419124603]","[0.5714548826217651, 0.537544310092926]"
"[0.5685644149780273, 0.26530537009239197]","[0.47577330470085144, 0.2800863981246948]","[0.5318820476531982, 0.71125727891922]","[0.4754454791545868, 0.7098734378814697]","[0.5151426792144775, 0.3288189768791199]","[0.5715881586074829, 0.5371899604797363]"
"[0.5686168670654297, 0.26531100273132324]","[0.4759174585342407, 0.2796468138694763]","[0.5319249033927917, 0.7112541794776917]","[0.47545310854911804, 0.7095949649810791]","[0.5111982822418213, 0.3383849859237671]","[0.5722658038139343, 0.5368508100509644]"
"[0.5691032409667969, 0.2656666040420532]","[0.47587376832962036, 0.2796453833580017]","[0.5323970317840576, 0.7111953496932983]","[0.4754505157470703, 0.7090839743614197]","[0.5081814527511597, 0.3542273938655853]","[0.5743625164031982, 0.5363619923591614]"
"[0.5694667100906372, 0.2659060060977936]","[0.4756310284137726, 0.27934759855270386]","[0.5328109264373779, 0.7111933827400208]","[0.4751746356487274, 0.7088280320167542]","[0.5049281716346741, 0.35953235626220703]","[0.5752531886100769, 0.5363512635231018]"
"[0.5700852274894714, 0.2662855088710785]","[0.4745461046695709, 0.2790609896183014]","[0.5332643985748291, 0.7110872864723206]","[0.4750111997127533, 0.7081204652786255]","[0.5028201341629028, 0.36856234073638916]","[0.5756884217262268, 0.5357651710510254]"
"[0.572187602519989, 0.266292542219162]","[0.473502516746521, 0.2795323431491852]","[0.5342292189598083, 0.711081326007843]","[0.4746895432472229, 0.7081605195999146]","[0.4994446635246277, 0.3737754821777344]","[0.5761910676956177, 0.535412073135376]"
"[0.5737443566322327, 0.2662939727306366]","[0.46961820125579834, 0.2794951796531677]","[0.5357310771942139, 0.7108656764030457]","[0.472704142332077, 0.7076923251152039]","[0.4961128234863281, 0.38102737069129944]","[0.5772615671157837, 0.5349706411361694]"
"[0.5752913355827332, 0.2663024663925171]","[0.46820300817489624, 0.2797299325466156]","[0.5371881127357483, 0.7107667922973633]","[0.4722049832344055, 0.7076108455657959]","[0.49547430872917175, 0.3891802728176117]","[0.5787351131439209, 0.534915030002594]"
"[0.5768280029296875, 0.2664467990398407]","[0.46827730536460876, 0.28228577971458435]","[0.5376401543617249, 0.7116392254829407]","[0.4719037413597107, 0.7092568278312683]","[0.49489524960517883, 0.3971659541130066]","[0.5805612206459045, 0.5352091193199158]"
"[0.5779579877853394, 0.26691123843193054]","[0.4677354097366333, 0.28448808193206787]","[0.5379825234413147, 0.7116454243659973]","[0.4710021913051605, 0.7093366980552673]","[0.49416497349739075, 0.40305790305137634]","[0.581664502620697, 0.5353655219078064]"
"[0.5783737897872925, 0.2671886682510376]","[0.46785974502563477, 0.2859928607940674]","[0.5383023619651794, 0.7116563320159912]","[0.470967173576355, 0.709388017654419]","[0.49453261494636536, 0.41444915533065796]","[0.5827016234397888, 0.5354135036468506]"
"[0.5783829092979431, 0.2672240436077118]","[0.46940141916275024, 0.28730112314224243]","[0.5383052825927734, 0.7117436528205872]","[0.47137123346328735, 0.7097574472427368]","[0.49328556656837463, 0.4230690598487854]","[0.5828565955162048, 0.5353665947914124]"
"[0.5783315300941467, 0.2672056555747986]","[0.47007811069488525, 0.2872423529624939]","[0.5383278727531433, 0.7117254137992859]","[0.47143128514289856, 0.7096611857414246]","[0.4927471876144409, 0.4310954511165619]","[0.5831970572471619, 0.5347294807434082]"
"[0.5783401727676392, 0.2670324444770813]","[0.47115465998649597, 0.2867864668369293]","[0.5385730266571045, 0.7108857035636902]","[0.471797376871109, 0.7086220979690552]","[0.4930823743343353, 0.44803398847579956]","[0.5844791531562805, 0.5339475870132446]"
"[0.5783302783966064, 0.2668988108634949]","[0.4714014232158661, 0.2856484055519104]","[0.5386193990707397, 0.7102265954017639]","[0.4718099534511566, 0.7079683542251587]","[0.4932224154472351, 0.4563511908054352]","[0.5846651196479797, 0.5318098664283752]"
"[0.5783588290214539, 0.2669174075126648]","[0.47396355867385864, 0.2856287956237793]","[0.5389977097511292, 0.71164470911026]","[0.47183942794799805, 0.7089967131614685]","[0.49502861499786377, 0.4730679392814636]","[0.586124062538147, 0.5312731266021729]"
"[0.5783452391624451, 0.2668227255344391]","[0.4750167429447174, 0.28558823466300964]","[0.5391309857368469, 0.7122185230255127]","[0.4719606041908264, 0.709270179271698]","[0.4950849711894989, 0.4876437187194824]","[0.5862675905227661, 0.5295109152793884]"
"[0.5783202052116394, 0.2667880356311798]","[0.4756859838962555, 0.28557342290878296]","[0.5392684936523438, 0.7131281495094299]","[0.4719718396663666, 0.7097892761230469]","[0.4950987696647644, 0.5015649795532227]","[0.5865268111228943, 0.5284909605979919]"
"[0.578277587890625, 0.2666567265987396]","[0.47562313079833984, 0.28554433584213257]","[0.5396038293838501, 0.7140916585922241]","[0.47177693247795105, 0.7103201746940613]","[0.49426546692848206, 0.512683629989624]","[0.5864430069923401, 0.5259506106376648]"
"[0.5782603621482849, 0.26663196086883545]","[0.4755714535713196, 0.28567028045654297]","[0.5398468375205994, 0.7156856060028076]","[0.4717482030391693, 0.7113738656044006]","[0.4945487976074219, 0.5287101864814758]","[0.5863658785820007, 0.5233237743377686]"
"[0.5781195759773254, 0.26620402932167053]","[0.47493353486061096, 0.285847544670105]","[0.5400561094284058, 0.7156954407691956]","[0.4716557562351227, 0.7113773226737976]","[0.49492594599723816, 0.542422354221344]","[0.5861880779266357, 0.5205633640289307]"
"[0.577511727809906, 0.26559218764305115]","[0.4740743339061737, 0.2857399880886078]","[0.5400561094284058, 0.7156776189804077]","[0.4716721177101135, 0.7113776206970215]","[0.4950271546840668, 0.5539032220840454]","[0.5858747363090515, 0.5184540152549744]"
"[0.5768777132034302, 0.2651136517524719]","[0.47338956594467163, 0.2856786847114563]","[0.5400345921516418, 0.7169493436813354]","[0.47211551666259766, 0.7132970690727234]","[0.49565258622169495, 0.5713772773742676]","[0.585837721824646, 0.5173908472061157]"
"[0.576443612575531, 0.26446589827537537]","[0.4726015329360962, 0.2854589819908142]","[0.5395257472991943, 0.7170981764793396]","[0.47208306193351746, 0.7134745121002197]","[0.49578621983528137, 0.5870745182037354]","[0.5857731103897095, 0.514911413192749]"
"[0.575976550579071, 0.26414382457733154]","[0.4718022048473358, 0.2854990065097809]","[0.5392300486564636, 0.7179688811302185]","[0.4720984101295471, 0.7142832279205322]","[0.4976974427700043, 0.6002823114395142]","[0.5856437683105469, 0.5120416879653931]"
"[0.5755182504653931, 0.26380375027656555]","[0.4712238609790802, 0.28484708070755005]","[0.5389390587806702, 0.7182906866073608]","[0.472107857465744, 0.7143766283988953]","[0.49824705719947815, 0.6141059398651123]","[0.5856117010116577, 0.511885941028595]"
"[0.5752492547035217, 0.2632195055484772]","[0.47102802991867065, 0.28483515977859497]","[0.5388290882110596, 0.7185474038124084]","[0.4721081554889679, 0.7143577933311462]","[0.5009099841117859, 0.6269492506980896]","[0.5854971408843994, 0.5115329623222351]"
"[0.5750728845596313, 0.26301309466362]","[0.4704567790031433, 0.2848877012729645]","[0.5386272072792053, 0.7196308374404907]","[0.4715680181980133, 0.7144362330436707]","[0.5031275153160095, 0.6371859908103943]","[0.584990382194519, 0.5117850303649902]"
"[0.5750548243522644, 0.2626997232437134]","[0.47006890177726746, 0.28488466143608093]","[0.5386146306991577, 0.7197467088699341]","[0.47150593996047974, 0.7133949995040894]","[0.5062011480331421, 0.6481042504310608]","[0.5842310786247253, 0.5118924975395203]"
"[0.5750834941864014, 0.26257532835006714]","[0.4699530601501465, 0.28473636507987976]","[0.5387617349624634, 0.7199200391769409]","[0.4714740812778473, 0.7124767303466797]","[0.509574830532074, 0.6572986245155334]","[0.5828219056129456, 0.5119901895523071]"
"[0.5751221179962158, 0.2625293731689453]","[0.4697563052177429, 0.28436779975891113]","[0.5389736890792847, 0.7198558449745178]","[0.4714735746383667, 0.7113028764724731]","[0.5139669179916382, 0.6682454943656921]","[0.5811032652854919, 0.5120458602905273]"
"[0.5751419067382812, 0.2624855935573578]","[0.46900781989097595, 0.28414663672447205]","[0.5389982461929321, 0.7198039889335632]","[0.4711769223213196, 0.7110097408294678]","[0.5161657929420471, 0.6795669198036194]","[0.5792369246482849, 0.5120693445205688]"
"[0.5751602649688721, 0.2624630630016327]","[0.46885842084884644, 0.2841476500034332]","[0.539617121219635, 0.7198408842086792]","[0.4713095724582672, 0.7109710574150085]","[0.5186195969581604, 0.6872745156288147]","[0.577316403388977, 0.5119157433509827]"
"[0.5752282738685608, 0.2624538838863373]","[0.46883609890937805, 0.2841905951499939]","[0.5396850109100342, 0.720482349395752]","[0.4713740050792694, 0.7113654017448425]","[0.5205007195472717, 0.69464510679245]","[0.57538902759552, 0.5119518637657166]"
"[0.5752500295639038, 0.262451708316803]","[0.46883270144462585, 0.28432655334472656]","[0.5399541258811951, 0.7205601334571838]","[0.47301074862480164, 0.7114161252975464]","[0.5231598615646362, 0.7026939392089844]","[0.5737661123275757, 0.5116862058639526]"
"[0.5752793550491333, 0.26245397329330444]","[0.46881529688835144, 0.2843981981277466]","[0.5401327013969421, 0.7206512093544006]","[0.4738195240497589, 0.7114664912223816]","[0.5241987109184265, 0.7043395042419434]","[0.5729469656944275, 0.5115576982498169]"
