LeftShoulder,RightShoulder,LeftHip,RightHip,Wrist,Elbow 
"[0.5695160627365112, 0.2696877717971802]","[0.4886040687561035, 0.2901557981967926]","[0.5330159664154053, 0.7346405982971191]","[0.47718101739883423, 0.7330054044723511]","[0.4771662950515747, 0.4597344994544983]","[0.577377200126648, 0.5352416634559631]"
"[0.5697294473648071, 0.27035680413246155]","[0.4883999824523926, 0.2900775969028473]","[0.5327222347259521, 0.7354902029037476]","[0.4772755801677704, 0.7331838607788086]","[0.47812339663505554, 0.43985113501548767]","[0.5771297216415405, 0.5372902750968933]"
"[0.5698487162590027, 0.27082300186157227]","[0.48809945583343506, 0.2914377450942993]","[0.5326099991798401, 0.7370994687080383]","[0.47736987471580505, 0.7346389293670654]","[0.4794669449329376, 0.42623084783554077]","[0.5761269330978394, 0.5378304719924927]"
"[0.5705538988113403, 0.27139800786972046]","[0.48703473806381226, 0.2921711504459381]","[0.5324840545654297, 0.7377246618270874]","[0.4773635268211365, 0.7347211241722107]","[0.4804958701133728, 0.41240498423576355]","[0.5751849412918091, 0.5393239259719849]"
"[0.570755124092102, 0.271854966878891]","[0.4846893846988678, 0.29218295216560364]","[0.5324735045433044, 0.7379225492477417]","[0.47735831141471863, 0.7346396446228027]","[0.48116880655288696, 0.39999815821647644]","[0.574260413646698, 0.5391737818717957]"
"[0.5710500478744507, 0.2719065546989441]","[0.4816285967826843, 0.29127928614616394]","[0.5324642658233643, 0.7379110455513]","[0.4773305654525757, 0.7345224022865295]","[0.48152297735214233, 0.39369073510169983]","[0.5739157795906067, 0.5387235879898071]"
"[0.5710541009902954, 0.271903932094574]","[0.481251060962677, 0.2893652319908142]","[0.5321514010429382, 0.7385191917419434]","[0.47705087065696716, 0.7344581484794617]","[0.4821987450122833, 0.379690945148468]","[0.5730234980583191, 0.5385724306106567]"
"[0.5708617568016052, 0.2719586491584778]","[0.4823966920375824, 0.28730008006095886]","[0.5313295722007751, 0.7387654185295105]","[0.4780227541923523, 0.7343494296073914]","[0.48769813776016235, 0.37296760082244873]","[0.5720945596694946, 0.5377257466316223]"
"[0.5698496699333191, 0.2720475494861603]","[0.48300787806510925, 0.28349024057388306]","[0.5302317142486572, 0.7387816905975342]","[0.47836267948150635, 0.733673632144928]","[0.49015748500823975, 0.3654835522174835]","[0.571647047996521, 0.5376105904579163]"
"[0.5692457556724548, 0.27204665541648865]","[0.4831848442554474, 0.28068509697914124]","[0.5294552445411682, 0.7371143698692322]","[0.4783729910850525, 0.7306994795799255]","[0.49306297302246094, 0.3589787781238556]","[0.5713568329811096, 0.5375672578811646]"
"[0.5675855278968811, 0.27200770378112793]","[0.4850907623767853, 0.2775183916091919]","[0.5275681614875793, 0.7359205484390259]","[0.4795975089073181, 0.7279376983642578]","[0.49592915177345276, 0.3534230589866638]","[0.5712845325469971, 0.5373360514640808]"
"[0.5658541321754456, 0.27157169580459595]","[0.4864000082015991, 0.27541300654411316]","[0.5263137817382812, 0.735504686832428]","[0.48031625151634216, 0.7273064255714417]","[0.4996078908443451, 0.3479684293270111]","[0.5711109638214111, 0.5372390151023865]"
"[0.5639389753341675, 0.2707362473011017]","[0.48782163858413696, 0.27525731921195984]","[0.5249300003051758, 0.7355103492736816]","[0.4810720384120941, 0.7273336052894592]","[0.5029527544975281, 0.3421495854854584]","[0.5710293054580688, 0.5371737480163574]"
"[0.5629839301109314, 0.2701554298400879]","[0.4883521497249603, 0.274811714887619]","[0.5234911441802979, 0.7360777854919434]","[0.48143652081489563, 0.7277581095695496]","[0.5067514181137085, 0.33611857891082764]","[0.5707095265388489, 0.5364844799041748]"
"[0.5626844167709351, 0.26952964067459106]","[0.4882827699184418, 0.2751481533050537]","[0.5233715772628784, 0.7363084554672241]","[0.48148825764656067, 0.7285549640655518]","[0.5116298794746399, 0.33297795057296753]","[0.5706629157066345, 0.5363742113113403]"
"[0.5628195405006409, 0.26953065395355225]","[0.48610442876815796, 0.27834558486938477]","[0.5239841938018799, 0.7361270785331726]","[0.4807364344596863, 0.7288862466812134]","[0.5177764296531677, 0.331590861082077]","[0.5706242918968201, 0.536258339881897]"
"[0.5629336833953857, 0.26953786611557007]","[0.4829893708229065, 0.2825005054473877]","[0.5247593522071838, 0.7354631423950195]","[0.4799799919128418, 0.7293403148651123]","[0.521346390247345, 0.3316842019557953]","[0.5704569220542908, 0.5361875891685486]"
"[0.5630044937133789, 0.26950645446777344]","[0.4808293581008911, 0.285134494304657]","[0.5251584053039551, 0.7351281046867371]","[0.47965526580810547, 0.7297354936599731]","[0.5236457586288452, 0.3327037990093231]","[0.5703728795051575, 0.5361006855964661]"
"[0.5630605220794678, 0.2693319618701935]","[0.4804418385028839, 0.28636449575424194]","[0.5251984000205994, 0.7351855039596558]","[0.47952932119369507, 0.7303034067153931]","[0.5232719779014587, 0.32994210720062256]","[0.5702611804008484, 0.5360559821128845]"
"[0.5633083581924438, 0.26924702525138855]","[0.4803852140903473, 0.2862747609615326]","[0.525290310382843, 0.7350536584854126]","[0.47934380173683167, 0.7302894592285156]","[0.5215712785720825, 0.32790929079055786]","[0.5702244639396667, 0.5358091592788696]"
"[0.5631129145622253, 0.2690793573856354]","[0.4821193516254425, 0.28415048122406006]","[0.5246539115905762, 0.7363544702529907]","[0.47967052459716797, 0.7310013175010681]","[0.5209936499595642, 0.3297833800315857]","[0.5702225565910339, 0.5357805490493774]"
"[0.5630246996879578, 0.26902905106544495]","[0.4834146201610565, 0.28180766105651855]","[0.5244225263595581, 0.7369312047958374]","[0.4799388647079468, 0.7311932444572449]","[0.5174490213394165, 0.3313412368297577]","[0.5701873302459717, 0.5355485081672668]"
"[0.5627081990242004, 0.26902544498443604]","[0.48593980073928833, 0.2780899703502655]","[0.5243203639984131, 0.7369814515113831]","[0.4807310998439789, 0.7310502529144287]","[0.5123494863510132, 0.33295947313308716]","[0.570196807384491, 0.5355437397956848]"
"[0.562725305557251, 0.26914677023887634]","[0.4865970015525818, 0.27563393115997314]","[0.5242883563041687, 0.736977756023407]","[0.4808589816093445, 0.7306968569755554]","[0.5055260062217712, 0.3376189172267914]","[0.5700624585151672, 0.5355826020240784]"
"[0.5633155107498169, 0.2698650360107422]","[0.48660069704055786, 0.27499136328697205]","[0.5247150659561157, 0.7369658946990967]","[0.4806390106678009, 0.7304481863975525]","[0.5005698800086975, 0.34495288133621216]","[0.5700618028640747, 0.5355731248855591]"
"[0.5644629597663879, 0.27034395933151245]","[0.4853903651237488, 0.2750794291496277]","[0.5263153314590454, 0.7371075749397278]","[0.47959983348846436, 0.7305179834365845]","[0.4968571066856384, 0.3528510630130768]","[0.5700777769088745, 0.5355660319328308]"
"[0.5662091374397278, 0.2705024182796478]","[0.48345911502838135, 0.2762320339679718]","[0.5275998711585999, 0.737082839012146]","[0.4792841076850891, 0.7305800318717957]","[0.49392709136009216, 0.3639795482158661]","[0.570082426071167, 0.5354787707328796]"
"[0.5685268044471741, 0.27054131031036377]","[0.48039406538009644, 0.27754488587379456]","[0.5298396348953247, 0.73533034324646]","[0.47837260365486145, 0.728925347328186]","[0.490727037191391, 0.37470564246177673]","[0.5700897574424744, 0.5354667901992798]"
"[0.5698747038841248, 0.27058401703834534]","[0.4789630174636841, 0.27890750765800476]","[0.5309746861457825, 0.7322120666503906]","[0.478141188621521, 0.7265689969062805]","[0.489253431558609, 0.386418879032135]","[0.5701186656951904, 0.5352839231491089]"
"[0.5704118609428406, 0.27069228887557983]","[0.47895342111587524, 0.280398964881897]","[0.5310643315315247, 0.7316199541091919]","[0.47794243693351746, 0.7262430191040039]","[0.4861852824687958, 0.3935055136680603]","[0.5701407790184021, 0.5352287888526917]"
"[0.5706968307495117, 0.2707250118255615]","[0.4795193374156952, 0.28205105662345886]","[0.531104326248169, 0.731823205947876]","[0.47796431183815, 0.7268995642662048]","[0.48392099142074585, 0.40342777967453003]","[0.5702821016311646, 0.5352548956871033]"
"[0.5707088708877563, 0.270749568939209]","[0.48010605573654175, 0.28513818979263306]","[0.5310899019241333, 0.7336177825927734]","[0.4778524339199066, 0.7301074266433716]","[0.48232170939445496, 0.4148749113082886]","[0.5707448720932007, 0.5353244543075562]"
"[0.570672869682312, 0.2708139717578888]","[0.48054736852645874, 0.28684407472610474]","[0.5310876965522766, 0.7342138886451721]","[0.4775144159793854, 0.7315715551376343]","[0.48222896456718445, 0.42608901858329773]","[0.5721678137779236, 0.535341203212738]"
"[0.5707220435142517, 0.27081844210624695]","[0.4817299544811249, 0.2868625223636627]","[0.5312616229057312, 0.7343140244483948]","[0.4772714674472809, 0.7317731380462646]","[0.48071783781051636, 0.436423659324646]","[0.5731992125511169, 0.5355214476585388]"
"[0.5707156658172607, 0.2708118259906769]","[0.48295536637306213, 0.2869611084461212]","[0.5315713286399841, 0.7343161702156067]","[0.47723186016082764, 0.7316666841506958]","[0.48004764318466187, 0.4473308026790619]","[0.5746710896492004, 0.5359755754470825]"
"[0.5707080960273743, 0.27074024081230164]","[0.4839644432067871, 0.2871094346046448]","[0.5316833257675171, 0.7343473434448242]","[0.4772306978702545, 0.7317030429840088]","[0.4801584780216217, 0.4604381024837494]","[0.5759494304656982, 0.536077618598938]"
"[0.5707155466079712, 0.2706577181816101]","[0.4844817519187927, 0.28835201263427734]","[0.531798243522644, 0.7344295382499695]","[0.4771261215209961, 0.7319854497909546]","[0.48006880283355713, 0.470493882894516]","[0.5768049955368042, 0.5361152291297913]"
"[0.5708007216453552, 0.27058109641075134]","[0.4847862124443054, 0.2891264855861664]","[0.5318495035171509, 0.7343791127204895]","[0.47711819410324097, 0.731974184513092]","[0.4795786440372467, 0.4796331226825714]","[0.5770788788795471, 0.5360674858093262]"
"[0.5709386467933655, 0.27045825123786926]","[0.4847601652145386, 0.2908872961997986]","[0.532331645488739, 0.7344338893890381]","[0.47707054018974304, 0.7325195074081421]","[0.48054268956184387, 0.4993326961994171]","[0.5773504376411438, 0.5343815684318542]"
"[0.5709866285324097, 0.270342618227005]","[0.484947144985199, 0.29088813066482544]","[0.5324789881706238, 0.7344457507133484]","[0.47706520557403564, 0.7326086163520813]","[0.480779767036438, 0.511740505695343]","[0.5773000717163086, 0.5328851938247681]"
"[0.570995569229126, 0.27028897404670715]","[0.48487553000450134, 0.29143673181533813]","[0.5328965783119202, 0.7353743314743042]","[0.47673365473747253, 0.7342283129692078]","[0.4808802902698517, 0.5215443968772888]","[0.5772579312324524, 0.5316138863563538]"
"[0.5709971189498901, 0.27026230096817017]","[0.4848710596561432, 0.29194822907447815]","[0.5331322550773621, 0.7362584471702576]","[0.4765949249267578, 0.7355655431747437]","[0.48103177547454834, 0.5226436257362366]","[0.5772392749786377, 0.5308932662010193]"
"[0.5712072849273682, 0.2701718211174011]","[0.4846242368221283, 0.2928471565246582]","[0.5335487127304077, 0.7371928691864014]","[0.4763287901878357, 0.7371910214424133]","[0.48110663890838623, 0.5324523448944092]","[0.5771961808204651, 0.5308011770248413]"
"[0.5712043046951294, 0.26980069279670715]","[0.4841832220554352, 0.2932499051094055]","[0.5338914394378662, 0.7374245524406433]","[0.4765927493572235, 0.7375008463859558]","[0.48118647933006287, 0.543314516544342]","[0.5771705508232117, 0.5290581583976746]"
"[0.570813000202179, 0.2690828740596771]","[0.48329976201057434, 0.2928634583950043]","[0.5337483882904053, 0.7358494400978088]","[0.4765909016132355, 0.7349077463150024]","[0.48232507705688477, 0.5663030743598938]","[0.5771438479423523, 0.5251527428627014]"
"[0.5706031918525696, 0.26842355728149414]","[0.48259133100509644, 0.2917202413082123]","[0.5337459444999695, 0.7341204881668091]","[0.47719040513038635, 0.7325587272644043]","[0.4842606782913208, 0.5804431438446045]","[0.5771247148513794, 0.5225158333778381]"
"[0.570404589176178, 0.26707014441490173]","[0.48220762610435486, 0.28933224081993103]","[0.5337597727775574, 0.7314417958259583]","[0.4771777391433716, 0.7298328876495361]","[0.48488911986351013, 0.5936463475227356]","[0.5771510601043701, 0.5175281763076782]"
"[0.5702224969863892, 0.26668286323547363]","[0.48221129179000854, 0.2877502739429474]","[0.5335203409194946, 0.7311821579933167]","[0.4771648049354553, 0.7294340133666992]","[0.48708897829055786, 0.6072772741317749]","[0.5771353840827942, 0.5155333280563354]"
"[0.5701090097427368, 0.26655006408691406]","[0.48213547468185425, 0.286846786737442]","[0.5334988832473755, 0.7312292456626892]","[0.4771328568458557, 0.728941798210144]","[0.4878614842891693, 0.6250398755073547]","[0.5765106081962585, 0.5142869353294373]"
"[0.5699579119682312, 0.26618215441703796]","[0.481177419424057, 0.28692567348480225]","[0.5334976315498352, 0.7306733131408691]","[0.47628915309906006, 0.7267101407051086]","[0.49477624893188477, 0.6373720765113831]","[0.5759075880050659, 0.5110170841217041]"
"[0.5697888135910034, 0.2659205496311188]","[0.48070308566093445, 0.28699854016304016]","[0.5334956645965576, 0.7301243543624878]","[0.4758452773094177, 0.7252355217933655]","[0.4973849952220917, 0.6400166153907776]","[0.5754769444465637, 0.509630024433136]"
"[0.5697813630104065, 0.26575255393981934]","[0.4793509840965271, 0.28701797127723694]","[0.5337665677070618, 0.7293092608451843]","[0.4743378758430481, 0.7240518927574158]","[0.5019094347953796, 0.651826024055481]","[0.5750821232795715, 0.5092865824699402]"
"[0.5698453187942505, 0.26569244265556335]","[0.4783567190170288, 0.2862567603588104]","[0.5341325402259827, 0.7280893921852112]","[0.4736693203449249, 0.7214553952217102]","[0.5064299702644348, 0.6658428311347961]","[0.5750280618667603, 0.5094228386878967]"
"[0.5699833035469055, 0.26564207673072815]","[0.47680792212486267, 0.2863653600215912]","[0.5349186658859253, 0.7273858189582825]","[0.4731879234313965, 0.7203545570373535]","[0.5126205086708069, 0.6782142519950867]","[0.574492871761322, 0.5087777972221375]"
"[0.5700427889823914, 0.2658343017101288]","[0.47617438435554504, 0.2873508036136627]","[0.5353761315345764, 0.7274600267410278]","[0.4729929268360138, 0.7204793691635132]","[0.5150400400161743, 0.6944916248321533]","[0.5725024342536926, 0.5088257193565369]"
"[0.5701954960823059, 0.26621100306510925]","[0.4760114550590515, 0.28821834921836853]","[0.5361007452011108, 0.7288998961448669]","[0.4730067849159241, 0.7221214771270752]","[0.5161327719688416, 0.7079445123672485]","[0.5700307488441467, 0.5103979110717773]"
"[0.5702142715454102, 0.2665834128856659]","[0.47607550024986267, 0.28882768750190735]","[0.5372635722160339, 0.7327657341957092]","[0.47327274084091187, 0.7239141464233398]","[0.5232169032096863, 0.7263729572296143]","[0.5683377385139465, 0.5122615098953247]"
"[0.5702958703041077, 0.2672988474369049]","[0.4761260151863098, 0.2896219491958618]","[0.5367273688316345, 0.7369652986526489]","[0.4729980528354645, 0.7261605858802795]","[0.5268604755401611, 0.7378196120262146]","[0.5670167803764343, 0.515561044216156]"
"[0.570380449295044, 0.26748213171958923]","[0.4760924279689789, 0.2897646427154541]","[0.5361567139625549, 0.7372773885726929]","[0.47221124172210693, 0.7263931632041931]","[0.5301978588104248, 0.7419017553329468]","[0.5662425756454468, 0.5169500708580017]"
"[0.5704190135002136, 0.2676554024219513]","[0.4760434329509735, 0.2899622619152069]","[0.5359194278717041, 0.7376495599746704]","[0.47186535596847534, 0.7267177104949951]","[0.5312005877494812, 0.7432572841644287]","[0.5658072829246521, 0.5180357098579407]"
"[0.5704247951507568, 0.2677127718925476]","[0.4760705232620239, 0.290080189704895]","[0.5350877046585083, 0.7375463247299194]","[0.4714585840702057, 0.7267739176750183]","[0.5336291193962097, 0.7425812482833862]","[0.5655681490898132, 0.5180411338806152]"
"[0.5704031586647034, 0.26783761382102966]","[0.47609028220176697, 0.2901456356048584]","[0.5336681008338928, 0.7376962304115295]","[0.47139981389045715, 0.7279897332191467]","[0.5364892482757568, 0.7469017505645752]","[0.5654866099357605, 0.5181457996368408]"
"[0.5702752470970154, 0.26788583397865295]","[0.4761011004447937, 0.2901866137981415]","[0.5314663648605347, 0.7376581430435181]","[0.4710802435874939, 0.7285478115081787]","[0.539531409740448, 0.7492108345031738]","[0.5652363300323486, 0.518651008605957]"
"[0.5701164603233337, 0.2679208219051361]","[0.47623953223228455, 0.29035845398902893]","[0.5314465761184692, 0.737617552280426]","[0.4710955321788788, 0.7290928959846497]","[0.5412679314613342, 0.7536576986312866]","[0.5651082992553711, 0.5195767283439636]"
"[0.5699251294136047, 0.26801565289497375]","[0.4766392707824707, 0.29042333364486694]","[0.53117835521698, 0.7377920150756836]","[0.47111111879348755, 0.7299984693527222]","[0.5419976711273193, 0.7546316385269165]","[0.5649511814117432, 0.5207118391990662]"
"[0.5696879625320435, 0.26802223920822144]","[0.4768844246864319, 0.2904391586780548]","[0.5312124490737915, 0.7378718256950378]","[0.4714142978191376, 0.7304667234420776]","[0.5421045422554016, 0.756188690662384]","[0.5649038553237915, 0.5209654569625854]"
"[0.5694189071655273, 0.2681658864021301]","[0.4769912362098694, 0.29040825366973877]","[0.5311591029167175, 0.738032341003418]","[0.47148799896240234, 0.7308094501495361]","[0.5418179035186768, 0.7546722888946533]","[0.5649242401123047, 0.5212200880050659]"
"[0.5692033171653748, 0.26823514699935913]","[0.4770872890949249, 0.2902930974960327]","[0.5311791300773621, 0.7384295463562012]","[0.4714917242527008, 0.7310418486595154]","[0.5410926938056946, 0.7524333596229553]","[0.5650492310523987, 0.521399736404419]"
"[0.5691653490066528, 0.26825276017189026]","[0.47725480794906616, 0.28985610604286194]","[0.5337778925895691, 0.7406481504440308]","[0.47293761372566223, 0.7312108874320984]","[0.5352847576141357, 0.7518912553787231]","[0.565184473991394, 0.5213951468467712]"
"[0.5691147446632385, 0.2683400809764862]","[0.47726860642433167, 0.28966179490089417]","[0.5349694490432739, 0.7425450086593628]","[0.47361308336257935, 0.7314737439155579]","[0.5319040417671204, 0.7514309287071228]","[0.5652536153793335, 0.5214927792549133]"
"[0.569096565246582, 0.26832693815231323]","[0.47723421454429626, 0.28905630111694336]","[0.5355422496795654, 0.7414394021034241]","[0.4740280508995056, 0.7309681177139282]","[0.528673529624939, 0.7371097803115845]","[0.5657711029052734, 0.5186700224876404]"
"[0.5690943002700806, 0.26833218336105347]","[0.47686967253685, 0.2885289788246155]","[0.5355803966522217, 0.739282488822937]","[0.4740211069583893, 0.7290536761283875]","[0.5244128704071045, 0.718265175819397]","[0.5665389895439148, 0.5166879892349243]"
"[0.5691035389900208, 0.2683382034301758]","[0.4763244688510895, 0.2884797751903534]","[0.5355538725852966, 0.737175464630127]","[0.4736305773258209, 0.7270116209983826]","[0.5211183428764343, 0.6990799903869629]","[0.5688800811767578, 0.5151901841163635]"
"[0.5691003799438477, 0.2680772542953491]","[0.47596484422683716, 0.2879529595375061]","[0.5354316234588623, 0.730971097946167]","[0.47362521290779114, 0.7219372391700745]","[0.5147956609725952, 0.6782233119010925]","[0.5704802870750427, 0.5126861333847046]"
"[0.5689995884895325, 0.26764488220214844]","[0.47613903880119324, 0.2879382073879242]","[0.5348058938980103, 0.7305857539176941]","[0.47361990809440613, 0.7220575213432312]","[0.5076298117637634, 0.660814106464386]","[0.5716961026191711, 0.5123655796051025]"
"[0.5688856840133667, 0.26718568801879883]","[0.4766618311405182, 0.2879781723022461]","[0.5341766476631165, 0.7307140827178955]","[0.47421517968177795, 0.7228494882583618]","[0.5011953711509705, 0.6375451683998108]","[0.5730077624320984, 0.5117545127868652]"
"[0.5688230991363525, 0.26699215173721313]","[0.4770351052284241, 0.2879747450351715]","[0.5331122875213623, 0.73076993227005]","[0.47430142760276794, 0.7230822443962097]","[0.4947366416454315, 0.6145653128623962]","[0.5742886662483215, 0.5118321776390076]"
"[0.5688187479972839, 0.26672711968421936]","[0.47702398896217346, 0.2883877456188202]","[0.5330724716186523, 0.7305411100387573]","[0.47440025210380554, 0.7231703400611877]","[0.4892022907733917, 0.5922999978065491]","[0.5752941370010376, 0.5123599767684937]"
"[0.5688158869743347, 0.2668515741825104]","[0.47745510935783386, 0.29005151987075806]","[0.5329220294952393, 0.7309029698371887]","[0.47453203797340393, 0.7247923612594604]","[0.48522502183914185, 0.57454514503479]","[0.575653076171875, 0.5162932276725769]"
"[0.5688556432723999, 0.2670517563819885]","[0.47857409715652466, 0.2911739647388458]","[0.5328759551048279, 0.732581377029419]","[0.4745839834213257, 0.7291818857192993]","[0.4826449155807495, 0.5552688837051392]","[0.575627326965332, 0.5193734765052795]"
"[0.5692712068557739, 0.26761510968208313]","[0.48019474744796753, 0.29232120513916016]","[0.5328584313392639, 0.7344235181808472]","[0.4743880033493042, 0.7330530881881714]","[0.48114117980003357, 0.5331611037254333]","[0.5756343007087708, 0.521497905254364]"
"[0.5697391033172607, 0.2688014507293701]","[0.48284244537353516, 0.29319843649864197]","[0.5328201651573181, 0.7348901033401489]","[0.47465360164642334, 0.7335057258605957]","[0.4787209928035736, 0.5069060921669006]","[0.5756675004959106, 0.5267034769058228]"
"[0.5702972412109375, 0.26944491267204285]","[0.4843078553676605, 0.2931146025657654]","[0.5326711535453796, 0.7342961430549622]","[0.4748476445674896, 0.7317066192626953]","[0.47885021567344666, 0.4869023561477661]","[0.5766165852546692, 0.5301145911216736]"
"[0.5703611969947815, 0.26995453238487244]","[0.48561766743659973, 0.29251769185066223]","[0.5319594740867615, 0.7342016100883484]","[0.4754312336444855, 0.7309188842773438]","[0.4774332344532013, 0.4594907760620117]","[0.5765714049339294, 0.5336887836456299]"
"[0.5704043507575989, 0.2706960141658783]","[0.4855864942073822, 0.2924807667732239]","[0.5314735770225525, 0.7348659038543701]","[0.4754372835159302, 0.7311641573905945]","[0.47802796959877014, 0.4419269263744354]","[0.5764418840408325, 0.5356307029724121]"
"[0.5706314444541931, 0.27091407775878906]","[0.4854259788990021, 0.2930638790130615]","[0.5313579440116882, 0.7368768453598022]","[0.475492924451828, 0.7330501079559326]","[0.4781349003314972, 0.42478397488594055]","[0.5758615136146545, 0.5360891222953796]"
"[0.5711719989776611, 0.2710765302181244]","[0.4853469729423523, 0.29326093196868896]","[0.5313284993171692, 0.7370745539665222]","[0.4756763279438019, 0.73338383436203]","[0.47889530658721924, 0.40958264470100403]","[0.5752071142196655, 0.5362586975097656]"
"[0.5712645649909973, 0.2714000344276428]","[0.4816456437110901, 0.2928012013435364]","[0.5313265323638916, 0.7362972497940063]","[0.47553956508636475, 0.7323165535926819]","[0.47936466336250305, 0.39818358421325684]","[0.5750074982643127, 0.5359216928482056]"
"[0.5712720155715942, 0.2714086174964905]","[0.48037636280059814, 0.2910698354244232]","[0.5312714576721191, 0.7352848052978516]","[0.47553494572639465, 0.7312028408050537]","[0.48022040724754333, 0.3922882080078125]","[0.5749365091323853, 0.5356531143188477]"
"[0.5712682008743286, 0.2714097201824188]","[0.4803956151008606, 0.28850457072257996]","[0.5311161279678345, 0.7351778745651245]","[0.47564050555229187, 0.7307544350624084]","[0.4808002710342407, 0.37854310870170593]","[0.5739777088165283, 0.5355634093284607]"
"[0.5707830786705017, 0.27155548334121704]","[0.48070594668388367, 0.28600266575813293]","[0.5301532745361328, 0.7351771593093872]","[0.47594839334487915, 0.7305017709732056]","[0.4830187261104584, 0.37122398614883423]","[0.5736234784126282, 0.5353617072105408]"
"[0.5698769092559814, 0.27158576250076294]","[0.48152655363082886, 0.28369587659835815]","[0.5286927819252014, 0.7354099154472351]","[0.4763236939907074, 0.7303629517555237]","[0.4860318899154663, 0.36635836958885193]","[0.573482096195221, 0.5351641774177551]"
"[0.5687702298164368, 0.2715894877910614]","[0.48316898941993713, 0.27962061762809753]","[0.527816891670227, 0.7354139089584351]","[0.4768088757991791, 0.729581892490387]","[0.48843374848365784, 0.36294320225715637]","[0.5734815001487732, 0.5351075530052185]"
"[0.5680615305900574, 0.2715698778629303]","[0.4844262897968292, 0.27640360593795776]","[0.526587188243866, 0.735137403011322]","[0.4773825705051422, 0.7276368141174316]","[0.4911964237689972, 0.35915958881378174]","[0.5736070275306702, 0.534362256526947]"
"[0.5677017569541931, 0.2715475559234619]","[0.4850147068500519, 0.27389073371887207]","[0.5260347723960876, 0.7348996996879578]","[0.4776937663555145, 0.7259721159934998]","[0.49438244104385376, 0.3560729920864105]","[0.5736412405967712, 0.5342907905578613]"
"[0.5671210885047913, 0.2715459167957306]","[0.48535674810409546, 0.273235946893692]","[0.525329053401947, 0.7349296808242798]","[0.47798988223075867, 0.7259184718132019]","[0.49676620960235596, 0.3518865704536438]","[0.5736402869224548, 0.5341619849205017]"
"[0.564561665058136, 0.2711348533630371]","[0.48631155490875244, 0.27289822697639465]","[0.5230521559715271, 0.7354817986488342]","[0.4796367287635803, 0.7261806726455688]","[0.49918413162231445, 0.34563204646110535]","[0.5736365914344788, 0.5339445471763611]"
"[0.5623663663864136, 0.27021729946136475]","[0.48648837208747864, 0.27271926403045654]","[0.5214956402778625, 0.7363864183425903]","[0.4800146222114563, 0.7270873188972473]","[0.5029545426368713, 0.34176647663116455]","[0.5736070275306702, 0.5338982343673706]"
"[0.5620889067649841, 0.26932576298713684]","[0.4864627718925476, 0.2728726267814636]","[0.5216295719146729, 0.7368243336677551]","[0.47988978028297424, 0.7277306914329529]","[0.5060101747512817, 0.3376930058002472]","[0.5735530853271484, 0.5335566997528076]"
"[0.561788022518158, 0.2687453329563141]","[0.48628947138786316, 0.2730213403701782]","[0.5215577483177185, 0.7371853590011597]","[0.4795452058315277, 0.7287185192108154]","[0.5087792277336121, 0.3369154632091522]","[0.5734129548072815, 0.5335120558738708]"
"[0.5617822408676147, 0.26828303933143616]","[0.48591330647468567, 0.27311670780181885]","[0.5216459035873413, 0.7371946573257446]","[0.47932198643684387, 0.7292448878288269]","[0.5099984407424927, 0.33679476380348206]","[0.5733576416969299, 0.5334106087684631]"
"[0.5616140961647034, 0.26815688610076904]","[0.4858972728252411, 0.2732037603855133]","[0.5217140913009644, 0.7371942400932312]","[0.47921064496040344, 0.7292789816856384]","[0.5097190737724304, 0.33832839131355286]","[0.5733597278594971, 0.5333510637283325]"
"[0.5612046718597412, 0.26785653829574585]","[0.48639628291130066, 0.27290552854537964]","[0.5216068625450134, 0.7372851371765137]","[0.47953298687934875, 0.729462206363678]","[0.5089550614356995, 0.339735209941864]","[0.5733854174613953, 0.5332835912704468]"
"[0.5612465739250183, 0.26806625723838806]","[0.4857741594314575, 0.27283141016960144]","[0.5222781300544739, 0.7363247275352478]","[0.4794450104236603, 0.7282533645629883]","[0.5075731873512268, 0.34014421701431274]","[0.5734845995903015, 0.533226728439331]"
"[0.5625450015068054, 0.26871028542518616]","[0.4834054708480835, 0.27285832166671753]","[0.523918867111206, 0.7349360585212708]","[0.47861629724502563, 0.7264116406440735]","[0.5021232962608337, 0.3423367142677307]","[0.5736697912216187, 0.5334636569023132]"
"[0.5637996196746826, 0.2692602872848511]","[0.4812377989292145, 0.27394548058509827]","[0.5255370736122131, 0.7347679138183594]","[0.47801610827445984, 0.7262188792228699]","[0.4942289888858795, 0.3543354272842407]","[0.5739960074424744, 0.5334622263908386]"
"[0.5662972927093506, 0.2701859474182129]","[0.47873952984809875, 0.2770746052265167]","[0.5281504392623901, 0.7331173419952393]","[0.476959228515625, 0.7250887751579285]","[0.49093812704086304, 0.3755030333995819]","[0.5740501880645752, 0.5342690348625183]"
"[0.5673273205757141, 0.27095529437065125]","[0.4774951934814453, 0.2797589600086212]","[0.5297066569328308, 0.7304795980453491]","[0.47666046023368835, 0.7236756086349487]","[0.48754867911338806, 0.3915402591228485]","[0.5740562081336975, 0.5347273945808411]"
"[0.5676656365394592, 0.271172434091568]","[0.4777432978153229, 0.28167635202407837]","[0.5298903584480286, 0.7305417060852051]","[0.47656089067459106, 0.7241387963294983]","[0.4853866994380951, 0.40593403577804565]","[0.5749863982200623, 0.5366736650466919]"
